Question,Answer
Hie,"Hello, I am your customer service bot. Continue asking more relating to our services and products"
What services?,"Well, we offer you affordable and delicious foods. We are 'Eat and Lick'"
Do you have any dairy-free options?,"Yes, we offer a variety of dairy-free options such as our fruit sorbets"
What are your ingredients in your chocolate chip cookies?,"Contains flour, sugar, butter, chocolate chips and other ingredients"
"I have a nut allergy, what products can I get?",We recommend you to the hospital for prescription
Do you have any seasonal flavors?,"Yes, we have seasonal flavors. Check our website for current offerings"
Can I order online and have it delivered?,Currently we donï¿½t have any online ordering but I can refere you to the nearest location
What is your best selling flavor?,Our best selling flavor is our Classic Vanilla Ice Cream
Do you offer catering?,"Yes, we offer catering services for events. Contact us for more information"
Can I buy your products in stores?,"Yes, we have a number of stores where our products can be found. Find more locations in our site"
Do you offer gift cards?,"Yes, we sell them especially to ice cream lovers"
Do you accept food returns?,We don't accept food returns. We always try to satisfy customers to avoid this
Do you offer discounts?,"Yes, we offer discounts to frequent customers. You can be the one too."
Where do you get your ingredients?,We dont expose such information for our competitive advantage
Where can I see the products you are offering?,You can check to our product's catalogue
Do you have prices for these products?,I can refere you to the price list of the products
Can I buy the products at wholesale?,"Yes, you can do that. Contact us when you are ready"
What is the most unique flavor,It is Raspberry Basil Sorbet. Its a refreshing and unexpected combination
Are your products organic,"Yes, some are but are not fully certified organic"
okay,We offer a range of products you may like
product, We deal with fast food products. We have our specialised catering.
how can i see your catalogue,Check out on our site or just the product catalogue list on the dashboard
which ones,Visit our product list
where is that,Visit the dashboard or our site
where,Check your nearest location
where can i get them,Visit any nearest store of us
i mean yours,Check out on our site
hello,"Hello, how can I assit today"
its fine,"If you are satisfied, leave feeback"
price,Visit the price list
yes,Have a goodday
service,We offer a number of services and products
hey,"Hie, how are you"
im keeping well,We provide you with your deliciuosis
thats grt,"Well, whats your plan for the products"
nothing,okay
sharp,Wish you a nice diet
what can i eat today,"We have a lot you can eat, visit the product catalogue"
how can i access them,You can check our product catalogue 
no problem,Have a nice day
can i see one,Visit the catalogue
hwzt,"Hie, how are you"
oky,Goodday
is there any store near,"Yes, visist the dasbhoard and check any from where youare"
can i get see them,Visit the product catalogue
thank you,"You are welcome, hope you come back for another visit"
thanks,Bye
you good,"Yes, Im availabe how can I assist you"
you are now back,What do you want today
you are back,Yes
what can i get now,What do you want
where ,Any store of us
Where your stores located,Check on the location list or visit our site
What languages do you talk,Specifically english
What are your product prices,You can check this on the dashboard
What is your most offer,"It depends on what you want, but almost all deliciosis are here"
What do you offer,Almost all you delicousis and refreshments
What currency do you accept,The Zimbabwe Gold or united states dollar
How can I pay ,"We have our till operations and cashiers, that is where payments are done"
"We need a section to leave our comments, ","Yes, leave it to me I will pass it to the board"
"Do you answer anything away from business, ","No,Im for customer services. To satisfy them"
I am feeling hungry,We have a lot of food to scare away your hungry
Like what,We have starched fresh chips with chicken aside
Can I get to know more,You can visit our main site for everything you want
Interesting staff,"I hope you are sasfied, "
"Yeah, almost",I am happy to hear this from you
Can I see the products you have today,Check on the product's menu or visist the main site
What about the prices,Check the price list as well or visit the main site or any nearest store
yebo,What are you saying?
Which foods are the best for my condition, I recommend you for a doctor's prescription
I need drinks, Buy any food above $4 you can be given as supplement
Any special offers, Yeah sometimes for those who buy almost everytime
What about others, We might put more food
Only that, Not only but we have many others
Hie I need help,Hello how can I help you today
Where exactly can I buy food,"You can check your current location, our stores are established almost in every town"
Where exactly ,Visit the dashboard and check there or contact support link below
Do you have fixed times,I operate 24/7 only but sometimes I might go for maintenance
How do you operate,I provide customer support during day and night
Whats up today,"Hello, what do you want today?"
Anything to eat,"Yes, the food is available"
"Hello, are you available","Yes, how can I help you today"
the new shawama combo is how much,"the new shawama combo is going for $4,50"
really?,Are you ready to buy
what is your strength then,I am your service bot but Eat and Lick products
are you sure,"Apologies If I made a wrong answer, what do you want exactly"
do you have chips?,"Yes, we have them. They are $2 with a mirinda drink refreshment"
how are you,"Hie, Im your customer service bot. Can you please provide with what you want"
where do we drop feedback,"Check on the bottom part of the dashboard, thats where you can comment"
my bot,"Hey, are you okay today. I am DelieBot for your services"
any servcies,We provide you with fast foods
my friend,"I am happy you have reached us, we have fast foods and some deliciousis for you"
are they any current updates,"Yes, they are new updates I wanted you to know. We have reduced food prices"
your location,"Almost in every town, visit our location list or just search on google maps"
what about in gweru?,"In Gweru, we are located just opposite Chicken Inn"
how about in harare,"Almost the whole CBD is populated by our stores, check our contact details on the link below"
goodday,Are you assisted
how to make payments,You can use your ecocash or ATM cards
how much budget can i raise for my wedding party,"We are affordable, from about $400, we provide you everything"
where are your contact details,"There is a link below this page, click the link"
i didn't got helped,"Visit the dashboard, there is everything there"
yours,"Im sorry, click on the sidebar expander with title Menu, you see everything there"
about how much,It depends on what you want and quantity 
why not here,"Just be straight, you confuses me"
are you working,"Yes, what do want"
bye,"Goodbye, enjoy your food"
Afternoon, How are you
What type of food can you recommend me, Its depends on what you want 
What new things are on your menu. We have a variety of foods you can visit the menu and check,
How much is roasted chicken, With $5.00 only you can get your chicken with some cold drinks
Do you have ice creams, Yes they are ranging from $1.00 up to $3.00.  Check on the menu
uptdates,
update,
any sale on pizza,Yes we have a 12 piece Pizza. You can get a promotion of a drink upon buying it
i am allergic,You are allergic to what
delie,"Hey, what are upto today"
what about shona,I am trained to understand english ony
nice deliciousis,Thank you for the feedback
i am bringing my girlfriend here,WoW! 'Eat n Lick'is a good place for you to party. Your food and refreshments are always available
what are your recommendations,I recommend you to come back again we always release new offers
i will come back,"Okay, hope you are satisfied"
can i purchase,"Yes, visit any store near your location and buy there"
its too much,I am sorry for you
too much,I am sorry
how much is food today,Check prices on the menu
thsnk you,Do you mean thank you
how can i get a promotion,"Yes, promotions are there. You can by a lot of food and given discounts or any other products for free"
any promotions,"Yes, through discounts to some products and to those buying in bulky or need catering"
but i do not want them ,I recommend you other products which are allergy-free
exit now,"Okay, just click exit only to leave me"
